"Step","cart-pole-rloo-baseline-2025-03-11-22-51-17 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-22-51-17 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-22-51-17 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-21-44-33 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-21-44-33 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-21-44-33 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-20-34-19 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-20-34-19 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-20-34-19 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-19-43-34 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-19-43-34 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-19-43-34 - train/total_episode_reward__MAX","cart-pole-rloo-baseline-2025-03-11-18-36-30 - train/total_episode_reward","cart-pole-rloo-baseline-2025-03-11-18-36-30 - train/total_episode_reward__MIN","cart-pole-rloo-baseline-2025-03-11-18-36-30 - train/total_episode_reward__MAX"
"339","167","167","167","145","145","145","1000","1000","1000","218","218","218","321","321","321"
"340","43","43","43","113","113","113","1000","1000","1000","308","308","308","318","318","318"
"341","257","257","257","144","144","144","1000","1000","1000","210","210","210","392","392","392"
"342","77","77","77","126","126","126","1000","1000","1000","377","377","377","276","276","276"
"343","149","149","149","155","155","155","1000","1000","1000","172","172","172","398","398","398"
"344","152","152","152","98","98","98","1000","1000","1000","223","223","223","299","299","299"
"345","68","68","68","156","156","156","1000","1000","1000","386","386","386","348","348","348"
"346","127","127","127","166","166","166","1000","1000","1000","152","152","152","326","326","326"
"347","93","93","93","143","143","143","1000","1000","1000","188","188","188","222","222","222"
"348","110","110","110","216","216","216","1000","1000","1000","256","256","256","282","282","282"
"349","249","249","249","113","113","113","1000","1000","1000","224","224","224","396","396","396"
"350","151","151","151","178","178","178","1000","1000","1000","236","236","236","407","407","407"
"351","251","251","251","206","206","206","1000","1000","1000","220","220","220","467","467","467"
"352","167","167","167","223","223","223","1000","1000","1000","241","241","241","253","253","253"
"353","267","267","267","215","215","215","1000","1000","1000","224","224","224","403","403","403"
"354","213","213","213","264","264","264","1000","1000","1000","247","247","247","495","495","495"
"355","179","179","179","170","170","170","1000","1000","1000","278","278","278","697","697","697"
"356","104","104","104","140","140","140","1000","1000","1000","359","359","359","320","320","320"
"357","121","121","121","107","107","107","1000","1000","1000","457","457","457","359","359","359"
"358","192","192","192","285","285","285","1000","1000","1000","292","292","292","594","594","594"
"359","282","282","282","238","238","238","1000","1000","1000","367","367","367","391","391","391"
"360","263","263","263","150","150","150","1000","1000","1000","432","432","432","341","341","341"
"361","116","116","116","146","146","146","1000","1000","1000","576","576","576","587","587","587"
"362","158","158","158","122","122","122","1000","1000","1000","540","540","540","380","380","380"
"363","217","217","217","129","129","129","1000","1000","1000","392","392","392","559","559","559"
"364","341","341","341","99","99","99","1000","1000","1000","492","492","492","402","402","402"
"365","244","244","244","151","151","151","1000","1000","1000","352","352","352","555","555","555"
"366","284","284","284","151","151","151","1000","1000","1000","399","399","399","430","430","430"
"367","158","158","158","138","138","138","1000","1000","1000","326","326","326","603","603","603"
"368","116","116","116","88","88","88","1000","1000","1000","581","581","581","284","284","284"
"369","204","204","204","122","122","122","1000","1000","1000","444","444","444","267","267","267"
"370","336","336","336","127","127","127","1000","1000","1000","339","339","339","528","528","528"
"371","202","202","202","122","122","122","1000","1000","1000","311","311","311","320","320","320"
"372","499","499","499","154","154","154","1000","1000","1000","370","370","370","435","435","435"
"373","295","295","295","169","169","169","1000","1000","1000","297","297","297","659","659","659"
"374","208","208","208","111","111","111","1000","1000","1000","427","427","427","232","232","232"
"375","654","654","654","154","154","154","1000","1000","1000","292","292","292","383","383","383"
"376","1000","1000","1000","128","128","128","1000","1000","1000","295","295","295","321","321","321"
"377","810","810","810","186","186","186","1000","1000","1000","290","290","290","329","329","329"
"378","1000","1000","1000","183","183","183","1000","1000","1000","323","323","323","353","353","353"
"379","584","584","584","115","115","115","1000","1000","1000","241","241","241","221","221","221"
"380","847","847","847","219","219","219","1000","1000","1000","243","243","243","404","404","404"
"381","379","379","379","123","123","123","1000","1000","1000","286","286","286","229","229","229"
"382","284","284","284","142","142","142","1000","1000","1000","222","222","222","258","258","258"
"383","252","252","252","111","111","111","1000","1000","1000","257","257","257","463","463","463"
"384","279","279","279","114","114","114","1000","1000","1000","250","250","250","229","229","229"
"385","306","306","306","135","135","135","1000","1000","1000","210","210","210","265","265","265"
"386","170","170","170","133","133","133","1000","1000","1000","295","295","295","279","279","279"
"387","227","227","227","127","127","127","1000","1000","1000","234","234","234","365","365","365"
"388","239","239","239","144","144","144","1000","1000","1000","279","279","279","252","252","252"
"389","143","143","143","151","151","151","1000","1000","1000","368","368","368","323","323","323"
"390","182","182","182","120","120","120","1000","1000","1000","661","661","661","473","473","473"
"391","221","221","221","129","129","129","1000","1000","1000","242","242","242","202","202","202"
"392","139","139","139","135","135","135","1000","1000","1000","207","207","207","413","413","413"
"393","232","232","232","105","105","105","1000","1000","1000","218","218","218","360","360","360"
"394","211","211","211","143","143","143","1000","1000","1000","244","244","244","457","457","457"
"395","257","257","257","184","184","184","1000","1000","1000","218","218","218","407","407","407"
"396","266","266","266","155","155","155","1000","1000","1000","435","435","435","529","529","529"
"397","99","99","99","114","114","114","1000","1000","1000","248","248","248","682","682","682"
"398","96","96","96","183","183","183","1000","1000","1000","207","207","207","543","543","543"
"399","186","186","186","172","172","172","1000","1000","1000","191","191","191","533","533","533"
"400","150","150","150","178","178","178","1000","1000","1000","240","240","240","630","630","630"
"401","226","226","226","179","179","179","1000","1000","1000","346","346","346","616","616","616"
"402","136","136","136","146","146","146","1000","1000","1000","364","364","364","446","446","446"
"403","108","108","108","235","235","235","1000","1000","1000","187","187","187","843","843","843"
"404","115","115","115","187","187","187","1000","1000","1000","182","182","182","427","427","427"
"405","106","106","106","330","330","330","1000","1000","1000","166","166","166","1000","1000","1000"
"406","130","130","130","265","265","265","1000","1000","1000","237","237","237","748","748","748"
"407","327","327","327","220","220","220","1000","1000","1000","301","301","301","497","497","497"
"408","151","151","151","243","243","243","1000","1000","1000","154","154","154","542","542","542"
"409","289","289","289","170","170","170","1000","1000","1000","225","225","225","473","473","473"
"410","213","213","213","261","261","261","1000","1000","1000","685","685","685","446","446","446"
"411","246","246","246","333","333","333","1000","1000","1000","174","174","174","813","813","813"
"412","211","211","211","252","252","252","1000","1000","1000","221","221","221","354","354","354"
"413","104","104","104","326","326","326","1000","1000","1000","116","116","116","610","610","610"
"414","172","172","172","346","346","346","1000","1000","1000","375","375","375","479","479","479"
"415","277","277","277","420","420","420","1000","1000","1000","185","185","185","305","305","305"
"416","325","325","325","517","517","517","1000","1000","1000","263","263","263","290","290","290"
"417","273","273","273","388","388","388","1000","1000","1000","286","286","286","375","375","375"
"418","295","295","295","524","524","524","1000","1000","1000","207","207","207","460","460","460"
"419","239","239","239","700","700","700","1000","1000","1000","826","826","826","243","243","243"
"420","146","146","146","1000","1000","1000","1000","1000","1000","210","210","210","415","415","415"
"421","212","212","212","1000","1000","1000","1000","1000","1000","319","319","319","803","803","803"
"422","251","251","251","1000","1000","1000","1000","1000","1000","265","265","265","511","511","511"
"423","189","189","189","1000","1000","1000","1000","1000","1000","210","210","210","341","341","341"
"424","370","370","370","1000","1000","1000","1000","1000","1000","462","462","462","219","219","219"
"425","426","426","426","1000","1000","1000","1000","1000","1000","239","239","239","1000","1000","1000"
"426","190","190","190","1000","1000","1000","1000","1000","1000","239","239","239","1000","1000","1000"
"427","304","304","304","1000","1000","1000","1000","1000","1000","219","219","219","1000","1000","1000"
"428","212","212","212","1000","1000","1000","1000","1000","1000","360","360","360","385","385","385"
"429","230","230","230","1000","1000","1000","1000","1000","1000","312","312","312","440","440","440"
"430","328","328","328","1000","1000","1000","1000","1000","1000","321","321","321","611","611","611"
"431","401","401","401","1000","1000","1000","1000","1000","1000","276","276","276","1000","1000","1000"
"432","280","280","280","1000","1000","1000","1000","1000","1000","311","311","311","1000","1000","1000"
"433","435","435","435","1000","1000","1000","1000","1000","1000","577","577","577","667","667","667"
"434","510","510","510","1000","1000","1000","1000","1000","1000","384","384","384","443","443","443"
"435","312","312","312","1000","1000","1000","1000","1000","1000","240","240","240","620","620","620"
"436","203","203","203","1000","1000","1000","1000","1000","1000","198","198","198","1000","1000","1000"
"437","313","313","313","1000","1000","1000","1000","1000","1000","312","312","312","640","640","640"
"438","552","552","552","1000","1000","1000","1000","1000","1000","276","276","276","675","675","675"
"439","243","243","243","1000","1000","1000","1000","1000","1000","247","247","247","1000","1000","1000"
"440","259","259","259","1000","1000","1000","1000","1000","1000","286","286","286","450","450","450"
"441","196","196","196","1000","1000","1000","1000","1000","1000","318","318","318","1000","1000","1000"
"442","353","353","353","1000","1000","1000","1000","1000","1000","284","284","284","813","813","813"
"443","398","398","398","1000","1000","1000","1000","1000","1000","455","455","455","729","729","729"
"444","340","340","340","1000","1000","1000","1000","1000","1000","313","313","313","676","676","676"
"445","426","426","426","1000","1000","1000","1000","1000","1000","326","326","326","536","536","536"
"446","377","377","377","1000","1000","1000","1000","1000","1000","435","435","435","572","572","572"
"447","261","261","261","464","464","464","1000","1000","1000","453","453","453","363","363","363"
"448","366","366","366","1000","1000","1000","1000","1000","1000","576","576","576","474","474","474"
"449","216","216","216","1000","1000","1000","1000","1000","1000","283","283","283","581","581","581"
"450","168","168","168","1000","1000","1000","1000","1000","1000","285","285","285","721","721","721"
"451","532","532","532","304","304","304","1000","1000","1000","299","299","299","950","950","950"
"452","344","344","344","1000","1000","1000","1000","1000","1000","560","560","560","725","725","725"
"453","378","378","378","667","667","667","1000","1000","1000","344","344","344","727","727","727"
"454","327","327","327","62","62","62","653","653","653","750","750","750","343","343","343"
"455","507","507","507","1000","1000","1000","1000","1000","1000","429","429","429","684","684","684"
"456","378","378","378","1000","1000","1000","1000","1000","1000","372","372","372","1000","1000","1000"
"457","354","354","354","1000","1000","1000","1000","1000","1000","421","421","421","1000","1000","1000"
"458","354","354","354","1000","1000","1000","1000","1000","1000","344","344","344","1000","1000","1000"
"459","386","386","386","1000","1000","1000","1000","1000","1000","456","456","456","1000","1000","1000"
"460","329","329","329","685","685","685","1000","1000","1000","958","958","958","1000","1000","1000"
"461","394","394","394","448","448","448","1000","1000","1000","446","446","446","1000","1000","1000"
"462","339","339","339","1000","1000","1000","1000","1000","1000","285","285","285","1000","1000","1000"
"463","718","718","718","1000","1000","1000","1000","1000","1000","406","406","406","1000","1000","1000"
"464","509","509","509","1000","1000","1000","1000","1000","1000","591","591","591","1000","1000","1000"
"465","706","706","706","1000","1000","1000","1000","1000","1000","652","652","652","1000","1000","1000"
"466","520","520","520","1000","1000","1000","1000","1000","1000","442","442","442","1000","1000","1000"
"467","722","722","722","1000","1000","1000","1000","1000","1000","485","485","485","1000","1000","1000"
"468","1000","1000","1000","1000","1000","1000","250","250","250","470","470","470","1000","1000","1000"
"469","1000","1000","1000","1000","1000","1000","1000","1000","1000","548","548","548","1000","1000","1000"
"470","1000","1000","1000","1000","1000","1000","1000","1000","1000","818","818","818","1000","1000","1000"
"471","1000","1000","1000","1000","1000","1000","1000","1000","1000","562","562","562","1000","1000","1000"
"472","1000","1000","1000","1000","1000","1000","1000","1000","1000","346","346","346","1000","1000","1000"
"473","805","805","805","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"
"474","1000","1000","1000","1000","1000","1000","1000","1000","1000","691","691","691","1000","1000","1000"
"475","1000","1000","1000","450","450","450","1000","1000","1000","396","396","396","1000","1000","1000"
"476","1000","1000","1000","1000","1000","1000","1000","1000","1000","706","706","706","1000","1000","1000"
"477","1000","1000","1000","1000","1000","1000","1000","1000","1000","532","532","532","1000","1000","1000"
"478","1000","1000","1000","995","995","995","1000","1000","1000","1000","1000","1000","1000","1000","1000"
"479","1000","1000","1000","675","675","675","1000","1000","1000","433","433","433","1000","1000","1000"
"480","1000","1000","1000","1000","1000","1000","1000","1000","1000","427","427","427","1000","1000","1000"
"481","1000","1000","1000","876","876","876","1000","1000","1000","520","520","520","1000","1000","1000"
"482","589","589","589","1000","1000","1000","1000","1000","1000","387","387","387","1000","1000","1000"
"483","1000","1000","1000","939","939","939","1000","1000","1000","611","611","611","1000","1000","1000"
"484","844","844","844","521","521","521","1000","1000","1000","347","347","347","1000","1000","1000"
"485","1000","1000","1000","862","862","862","1000","1000","1000","445","445","445","1000","1000","1000"
"486","905","905","905","972","972","972","1000","1000","1000","326","326","326","1000","1000","1000"
"487","1000","1000","1000","1000","1000","1000","1000","1000","1000","309","309","309","1000","1000","1000"
"488","1000","1000","1000","1000","1000","1000","1000","1000","1000","354","354","354","1000","1000","1000"
"489","730","730","730","1000","1000","1000","1000","1000","1000","364","364","364","1000","1000","1000"
"490","1000","1000","1000","1000","1000","1000","1000","1000","1000","602","602","602","1000","1000","1000"
"491","961","961","961","1000","1000","1000","1000","1000","1000","347","347","347","1000","1000","1000"
"492","636","636","636","1000","1000","1000","1000","1000","1000","563","563","563","1000","1000","1000"
"493","1000","1000","1000","1000","1000","1000","1000","1000","1000","246","246","246","1000","1000","1000"
"494","1000","1000","1000","1000","1000","1000","1000","1000","1000","290","290","290","1000","1000","1000"
"495","1000","1000","1000","845","845","845","1000","1000","1000","313","313","313","1000","1000","1000"
"496","1000","1000","1000","1000","1000","1000","1000","1000","1000","355","355","355","1000","1000","1000"
"497","1000","1000","1000","1000","1000","1000","1000","1000","1000","294","294","294","1000","1000","1000"
"498","1000","1000","1000","1000","1000","1000","1000","1000","1000","454","454","454","1000","1000","1000"
"499","1000","1000","1000","1000","1000","1000","1000","1000","1000","225","225","225","1000","1000","1000"
"500","1000","1000","1000","1000","1000","1000","1000","1000","1000","269","269","269","1000","1000","1000"
"501","1000","1000","1000","1000","1000","1000","1000","1000","1000","224","224","224","1000","1000","1000"
"502","1000","1000","1000","1000","1000","1000","1000","1000","1000","360","360","360","1000","1000","1000"
"503","1000","1000","1000","1000","1000","1000","1000","1000","1000","166","166","166","1000","1000","1000"
"504","1000","1000","1000","1000","1000","1000","1000","1000","1000","234","234","234","1000","1000","1000"
"505","1000","1000","1000","1000","1000","1000","1000","1000","1000","217","217","217","1000","1000","1000"
"506","1000","1000","1000","1000","1000","1000","1000","1000","1000","373","373","373","1000","1000","1000"
"507","1000","1000","1000","1000","1000","1000","1000","1000","1000","253","253","253","1000","1000","1000"
"508","671","671","671","1000","1000","1000","1000","1000","1000","170","170","170","1000","1000","1000"
"509","1000","1000","1000","1000","1000","1000","1000","1000","1000","269","269","269","1000","1000","1000"
"510","1000","1000","1000","1000","1000","1000","1000","1000","1000","171","171","171","1000","1000","1000"
"511","330","330","330","1000","1000","1000","1000","1000","1000","211","211","211","1000","1000","1000"
"512","1000","1000","1000","1000","1000","1000","1000","1000","1000","368","368","368","1000","1000","1000"
"513","1000","1000","1000","1000","1000","1000","1000","1000","1000","180","180","180","1000","1000","1000"
"514","1000","1000","1000","1000","1000","1000","1000","1000","1000","147","147","147","1000","1000","1000"
"515","1000","1000","1000","1000","1000","1000","1000","1000","1000","158","158","158","1000","1000","1000"
"516","1000","1000","1000","1000","1000","1000","1000","1000","1000","216","216","216","1000","1000","1000"
"517","1000","1000","1000","898","898","898","1000","1000","1000","221","221","221","1000","1000","1000"
"518","609","609","609","720","720","720","1000","1000","1000","243","243","243","1000","1000","1000"
"519","1000","1000","1000","981","981","981","1000","1000","1000","443","443","443","1000","1000","1000"
"520","1000","1000","1000","745","745","745","1000","1000","1000","175","175","175","1000","1000","1000"
"521","1000","1000","1000","976","976","976","1000","1000","1000","324","324","324","1000","1000","1000"
"522","1000","1000","1000","1000","1000","1000","1000","1000","1000","236","236","236","1000","1000","1000"
"523","1000","1000","1000","1000","1000","1000","1000","1000","1000","207","207","207","1000","1000","1000"
"524","1000","1000","1000","860","860","860","1000","1000","1000","211","211","211","1000","1000","1000"
"525","1000","1000","1000","919","919","919","1000","1000","1000","188","188","188","1000","1000","1000"
"526","1000","1000","1000","808","808","808","1000","1000","1000","289","289","289","1000","1000","1000"
"527","1000","1000","1000","854","854","854","1000","1000","1000","179","179","179","1000","1000","1000"
"528","1000","1000","1000","895","895","895","1000","1000","1000","269","269","269","1000","1000","1000"
"529","1000","1000","1000","674","674","674","1000","1000","1000","515","515","515","1000","1000","1000"
"530","1000","1000","1000","651","651","651","1000","1000","1000","196","196","196","1000","1000","1000"
"531","1000","1000","1000","725","725","725","1000","1000","1000","412","412","412","1000","1000","1000"
"532","1000","1000","1000","1000","1000","1000","1000","1000","1000","243","243","243","1000","1000","1000"
"533","443","443","443","1000","1000","1000","1000","1000","1000","239","239","239","1000","1000","1000"
"534","1000","1000","1000","1000","1000","1000","1000","1000","1000","272","272","272","1000","1000","1000"
"535","1000","1000","1000","1000","1000","1000","1000","1000","1000","177","177","177","1000","1000","1000"
"536","1000","1000","1000","1000","1000","1000","1000","1000","1000","186","186","186","1000","1000","1000"
"537","713","713","713","1000","1000","1000","1000","1000","1000","224","224","224","1000","1000","1000"
"538","1000","1000","1000","1000","1000","1000","1000","1000","1000","199","199","199","1000","1000","1000"
"539","1000","1000","1000","1000","1000","1000","1000","1000","1000","325","325","325","1000","1000","1000"
"540","1000","1000","1000","1000","1000","1000","1000","1000","1000","244","244","244","1000","1000","1000"
"541","1000","1000","1000","1000","1000","1000","1000","1000","1000","222","222","222","1000","1000","1000"
"542","1000","1000","1000","1000","1000","1000","1000","1000","1000","247","247","247","1000","1000","1000"
"543","753","753","753","1000","1000","1000","766","766","766","272","272","272","1000","1000","1000"
"544","611","611","611","1000","1000","1000","161","161","161","239","239","239","1000","1000","1000"
"545","1000","1000","1000","1000","1000","1000","1000","1000","1000","201","201","201","1000","1000","1000"
"546","1000","1000","1000","1000","1000","1000","1000","1000","1000","330","330","330","1000","1000","1000"
"547","1000","1000","1000","1000","1000","1000","1000","1000","1000","317","317","317","1000","1000","1000"
"548","1000","1000","1000","1000","1000","1000","1000","1000","1000","272","272","272","1000","1000","1000"
"549","403","403","403","1000","1000","1000","1000","1000","1000","274","274","274","1000","1000","1000"
"550","1000","1000","1000","1000","1000","1000","1000","1000","1000","285","285","285","1000","1000","1000"
"551","1000","1000","1000","1000","1000","1000","1000","1000","1000","408","408","408","1000","1000","1000"
"552","1000","1000","1000","1000","1000","1000","1000","1000","1000","329","329","329","1000","1000","1000"
"553","1000","1000","1000","1000","1000","1000","1000","1000","1000","310","310","310","1000","1000","1000"
"554","1000","1000","1000","1000","1000","1000","1000","1000","1000","250","250","250","1000","1000","1000"
"555","1000","1000","1000","1000","1000","1000","1000","1000","1000","253","253","253","1000","1000","1000"
"556","1000","1000","1000","1000","1000","1000","1000","1000","1000","373","373","373","1000","1000","1000"
"557","1000","1000","1000","1000","1000","1000","1000","1000","1000","358","358","358","1000","1000","1000"
"558","1000","1000","1000","1000","1000","1000","1000","1000","1000","289","289","289","1000","1000","1000"
"559","958","958","958","1000","1000","1000","1000","1000","1000","341","341","341","1000","1000","1000"
"560","1000","1000","1000","1000","1000","1000","1000","1000","1000","400","400","400","1000","1000","1000"
"561","1000","1000","1000","1000","1000","1000","1000","1000","1000","248","248","248","1000","1000","1000"
"562","1000","1000","1000","1000","1000","1000","1000","1000","1000","337","337","337","1000","1000","1000"
"563","1000","1000","1000","1000","1000","1000","1000","1000","1000","253","253","253","1000","1000","1000"
"564","1000","1000","1000","1000","1000","1000","1000","1000","1000","357","357","357","1000","1000","1000"
"565","1000","1000","1000","1000","1000","1000","1000","1000","1000","448","448","448","1000","1000","1000"
"566","1000","1000","1000","1000","1000","1000","898","898","898","332","332","332","1000","1000","1000"
"567","1000","1000","1000","1000","1000","1000","698","698","698","348","348","348","1000","1000","1000"
"568","944","944","944","1000","1000","1000","631","631","631","319","319","319","1000","1000","1000"
"569","1000","1000","1000","1000","1000","1000","731","731","731","393","393","393","1000","1000","1000"
"570","697","697","697","1000","1000","1000","770","770","770","252","252","252","1000","1000","1000"
"571","1000","1000","1000","1000","1000","1000","429","429","429","321","321","321","303","303","303"
"572","1000","1000","1000","1000","1000","1000","652","652","652","232","232","232","1000","1000","1000"
"573","1000","1000","1000","1000","1000","1000","434","434","434","278","278","278","553","553","553"
"574","1000","1000","1000","1000","1000","1000","580","580","580","359","359","359","1000","1000","1000"
"575","1000","1000","1000","1000","1000","1000","709","709","709","619","619","619","1000","1000","1000"
"576","1000","1000","1000","1000","1000","1000","410","410","410","235","235","235","1000","1000","1000"
"577","307","307","307","1000","1000","1000","415","415","415","224","224","224","1000","1000","1000"
"578","865","865","865","1000","1000","1000","793","793","793","250","250","250","1000","1000","1000"
"579","241","241","241","1000","1000","1000","1000","1000","1000","283","283","283","1000","1000","1000"
"580","1000","1000","1000","1000","1000","1000","878","878","878","252","252","252","1000","1000","1000"
"581","327","327","327","1000","1000","1000","1000","1000","1000","255","255","255","1000","1000","1000"
"582","1000","1000","1000","1000","1000","1000","681","681","681","276","276","276","1000","1000","1000"
"583","517","517","517","1000","1000","1000","1000","1000","1000","341","341","341","1000","1000","1000"
"584","266","266","266","1000","1000","1000","1000","1000","1000","265","265","265","1000","1000","1000"
"585","1000","1000","1000","1000","1000","1000","1000","1000","1000","343","343","343","741","741","741"
"586","1000","1000","1000","1000","1000","1000","1000","1000","1000","177","177","177","1000","1000","1000"
"587","1000","1000","1000","1000","1000","1000","1000","1000","1000","302","302","302","1000","1000","1000"
"588","1000","1000","1000","1000","1000","1000","1000","1000","1000","381","381","381","1000","1000","1000"
"589","1000","1000","1000","1000","1000","1000","1000","1000","1000","230","230","230","1000","1000","1000"
"590","411","411","411","1000","1000","1000","1000","1000","1000","347","347","347","1000","1000","1000"
"591","1000","1000","1000","1000","1000","1000","1000","1000","1000","216","216","216","1000","1000","1000"
"592","1000","1000","1000","1000","1000","1000","1000","1000","1000","219","219","219","1000","1000","1000"
"593","1000","1000","1000","1000","1000","1000","1000","1000","1000","192","192","192","1000","1000","1000"
"594","364","364","364","1000","1000","1000","1000","1000","1000","234","234","234","1000","1000","1000"
"595","1000","1000","1000","1000","1000","1000","1000","1000","1000","267","267","267","1000","1000","1000"
"596","1000","1000","1000","1000","1000","1000","1000","1000","1000","284","284","284","1000","1000","1000"
"597","938","938","938","1000","1000","1000","1000","1000","1000","192","192","192","1000","1000","1000"
"598","1000","1000","1000","1000","1000","1000","1000","1000","1000","307","307","307","1000","1000","1000"
"599","1000","1000","1000","1000","1000","1000","1000","1000","1000","187","187","187","1000","1000","1000"
"600","1000","1000","1000","1000","1000","1000","1000","1000","1000","177","177","177","1000","1000","1000"
"601","1000","1000","1000","1000","1000","1000","1000","1000","1000","238","238","238","1000","1000","1000"
"602","773","773","773","1000","1000","1000","1000","1000","1000","290","290","290","1000","1000","1000"
"603","1000","1000","1000","1000","1000","1000","1000","1000","1000","301","301","301","1000","1000","1000"
"604","1000","1000","1000","1000","1000","1000","1000","1000","1000","272","272","272","1000","1000","1000"
"605","1000","1000","1000","1000","1000","1000","1000","1000","1000","286","286","286","1000","1000","1000"
"606","1000","1000","1000","1000","1000","1000","1000","1000","1000","120","120","120","1000","1000","1000"
"607","1000","1000","1000","1000","1000","1000","1000","1000","1000","411","411","411","1000","1000","1000"
"608","1000","1000","1000","1000","1000","1000","1000","1000","1000","244","244","244","1000","1000","1000"
"609","1000","1000","1000","1000","1000","1000","1000","1000","1000","215","215","215","1000","1000","1000"
"610","1000","1000","1000","1000","1000","1000","1000","1000","1000","289","289","289","1000","1000","1000"
"611","1000","1000","1000","1000","1000","1000","1000","1000","1000","178","178","178","1000","1000","1000"
"612","1000","1000","1000","1000","1000","1000","1000","1000","1000","221","221","221","1000","1000","1000"
"613","1000","1000","1000","1000","1000","1000","1000","1000","1000","320","320","320","1000","1000","1000"
"614","1000","1000","1000","1000","1000","1000","1000","1000","1000","260","260","260","1000","1000","1000"
"615","1000","1000","1000","1000","1000","1000","1000","1000","1000","174","174","174","1000","1000","1000"
"616","1000","1000","1000","1000","1000","1000","1000","1000","1000","235","235","235","1000","1000","1000"
"617","1000","1000","1000","1000","1000","1000","1000","1000","1000","247","247","247","1000","1000","1000"
"618","1000","1000","1000","1000","1000","1000","1000","1000","1000","168","168","168","1000","1000","1000"
"619","1000","1000","1000","1000","1000","1000","1000","1000","1000","353","353","353","1000","1000","1000"
"620","1000","1000","1000","1000","1000","1000","1000","1000","1000","150","150","150","1000","1000","1000"
"621","1000","1000","1000","1000","1000","1000","1000","1000","1000","263","263","263","1000","1000","1000"
"622","1000","1000","1000","1000","1000","1000","1000","1000","1000","229","229","229","1000","1000","1000"
"623","1000","1000","1000","1000","1000","1000","1000","1000","1000","193","193","193","1000","1000","1000"
"624","1000","1000","1000","1000","1000","1000","1000","1000","1000","255","255","255","1000","1000","1000"
"625","1000","1000","1000","1000","1000","1000","1000","1000","1000","170","170","170","1000","1000","1000"
"626","1000","1000","1000","1000","1000","1000","1000","1000","1000","212","212","212","1000","1000","1000"
"627","1000","1000","1000","1000","1000","1000","1000","1000","1000","210","210","210","1000","1000","1000"
"628","1000","1000","1000","1000","1000","1000","1000","1000","1000","390","390","390","1000","1000","1000"
"629","1000","1000","1000","1000","1000","1000","1000","1000","1000","267","267","267","1000","1000","1000"
"630","1000","1000","1000","1000","1000","1000","1000","1000","1000","279","279","279","1000","1000","1000"
"631","1000","1000","1000","1000","1000","1000","1000","1000","1000","336","336","336","1000","1000","1000"
"632","1000","1000","1000","1000","1000","1000","1000","1000","1000","266","266","266","1000","1000","1000"
"633","1000","1000","1000","1000","1000","1000","1000","1000","1000","290","290","290","1000","1000","1000"
"634","1000","1000","1000","1000","1000","1000","1000","1000","1000","284","284","284","1000","1000","1000"
"635","1000","1000","1000","1000","1000","1000","1000","1000","1000","294","294","294","1000","1000","1000"
"636","1000","1000","1000","1000","1000","1000","1000","1000","1000","333","333","333","1000","1000","1000"
"637","1000","1000","1000","1000","1000","1000","1000","1000","1000","352","352","352","1000","1000","1000"
"638","1000","1000","1000","1000","1000","1000","1000","1000","1000","540","540","540","1000","1000","1000"
"639","1000","1000","1000","1000","1000","1000","1000","1000","1000","285","285","285","1000","1000","1000"
"640","1000","1000","1000","1000","1000","1000","1000","1000","1000","323","323","323","1000","1000","1000"
"641","1000","1000","1000","1000","1000","1000","1000","1000","1000","369","369","369","1000","1000","1000"
"642","1000","1000","1000","1000","1000","1000","1000","1000","1000","423","423","423","1000","1000","1000"
"643","1000","1000","1000","1000","1000","1000","1000","1000","1000","251","251","251","1000","1000","1000"
"644","1000","1000","1000","1000","1000","1000","1000","1000","1000","328","328","328","1000","1000","1000"
"645","1000","1000","1000","1000","1000","1000","1000","1000","1000","384","384","384","1000","1000","1000"
"646","1000","1000","1000","1000","1000","1000","1000","1000","1000","417","417","417","1000","1000","1000"
"647","1000","1000","1000","1000","1000","1000","1000","1000","1000","437","437","437","1000","1000","1000"
"648","1000","1000","1000","1000","1000","1000","1000","1000","1000","289","289","289","1000","1000","1000"
"649","1000","1000","1000","1000","1000","1000","1000","1000","1000","284","284","284","1000","1000","1000"
"650","1000","1000","1000","1000","1000","1000","1000","1000","1000","329","329","329","1000","1000","1000"
"651","1000","1000","1000","1000","1000","1000","1000","1000","1000","269","269","269","1000","1000","1000"
"652","1000","1000","1000","1000","1000","1000","1000","1000","1000","341","341","341","1000","1000","1000"
"653","625","625","625","1000","1000","1000","1000","1000","1000","280","280","280","1000","1000","1000"
"654","1000","1000","1000","1000","1000","1000","1000","1000","1000","235","235","235","1000","1000","1000"
